,Status,Life expectancy,Adult Mortality,BMI,HIV/AIDS,Diphtheria,Polio,GDP,Income composition of resources,Schooling
68,Developing,75.7,136.0,45.1,0.1,99.0,99.0,11929.34991,0.782,14.1
2917,Developing,47.9,578.0,18.0,17.6,83.0,84.0,53.2772217,0.456,10.5
2367,Developing,68.1,192.0,45.5,0.1,92.0,98.0,1158.282672,0.494,9.3
2242,Developing,73.2,1.0,6.9,0.1,96.0,96.0,15334.66994,0.767,12.5
44,Developing,71.7,146.0,47.0,0.1,87.0,87.0,294.33556,0.663,11.5
1687,Developing,76.1,124.0,6.8,0.1,97.0,97.0,9834.472689,0.745,12.6
675,Developed,81.0,54.0,59.2,0.1,99.0,99.0,2797.96736,0.85,13.8
1719,Developing,67.8,231.0,49.2,0.1,99.0,99.0,4368.82248,0.712,14.7
2425,Developed,82.8,56.0,66.6,0.1,97.0,97.0,25683.84565,0.882,17.7
1903,Developing,49.2,4.0,19.3,5.4,36.0,45.0,87.8938738,0.463,8.9
1064,Developing,76.0,198.0,46.5,0.4,92.0,92.0,2635.753474,0.596,10.4
2046,Developed,75.5,14.0,57.2,0.1,99.0,96.0,141.44688,0.813,15.0
200,Developing,68.6,151.0,13.5,0.1,94.0,96.0,541.651484,0.513,8.6
1658,Developing,61.4,217.0,26.1,1.3,74.0,73.0,1167.535689,0.475,7.2
2148,Developing,64.8,313.0,54.5,0.3,97.0,97.0,2375.5944,0.727,12.8
1582,Developing,44.6,613.0,15.2,24.2,84.0,85.0,26.152517,0.362,10.3
1462,Developing,75.0,93.0,64.0,0.1,81.0,75.0,8734.9653,0.758,13.2
2358,Developed,76.6,117.0,52.3,0.1,93.0,93.0,11814.9994,0.835,15.6
2429,Developed,82.1,63.0,64.1,0.1,97.0,97.0,31834.21816,0.867,16.9
993,Developing,71.8,129.0,46.0,0.1,8.0,81.0,691.997711,0.0,11.4
380,Developing,76.0,89.0,29.1,0.1,92.0,99.0,18555.56649,0.823,13.4
986,Developing,74.4,12.0,49.9,0.1,98.0,88.0,2492.12878,0.722,12.5
472,Developing,65.0,24.0,14.8,0.9,82.0,82.0,631.675789,0.495,10.3
1002,Developed,79.8,82.0,58.5,0.1,96.0,95.0,41814.8191,0.898,16.6
462,Developing,73.0,152.0,22.1,0.8,9.0,91.0,1268.884564,0.562,11.0
2376,Developing,65.8,235.0,37.9,0.1,86.0,88.0,154.518572,0.455,7.2
324,Developing,76.9,92.0,53.7,0.1,88.0,89.0,55.156834,0.711,13.4
1043,Developing,73.5,143.0,47.4,0.1,97.0,81.0,8569.776998,0.749,15.8
358,Developing,73.6,157.0,51.1,0.1,99.0,99.0,8553.3847,0.714,13.8
1252,Developed,81.0,67.0,61.3,0.1,96.0,96.0,5234.76736,0.902,18.6
553,Developing,78.9,91.0,58.1,0.1,94.0,94.0,9484.681227,0.796,14.9
2811,Developing,76.8,117.0,63.4,0.1,95.0,95.0,16737.89827,0.791,15.5
186,Developing,75.3,81.0,56.1,0.1,98.0,98.0,17959.17854,0.806,14.0
279,Developing,57.6,278.0,22.0,1.8,75.0,77.0,82.1513498,0.444,9.1
990,Developing,72.7,132.0,47.5,0.1,75.0,74.0,928.18227,0.684,11.8
2,Developing,59.9,268.0,18.1,0.1,64.0,62.0,631.744976,0.47,9.9
334,Developing,74.9,113.0,48.2,0.1,91.0,92.0,1524.41222,0.0,11.6
371,Developing,78.3,79.0,38.2,0.1,99.0,99.0,47651.2599,0.852,14.4
2826,Developing,69.4,184.0,44.7,0.1,99.0,99.0,2137.576852,0.697,12.1
564,Developing,75.2,91.0,29.0,0.1,99.0,99.0,5633.79616,0.7,12.8
49,Developing,51.7,348.0,22.7,2.0,64.0,68.0,479.31224,0.527,11.4
1165,Developed,72.9,18.0,58.2,0.1,99.0,99.0,1259.5266,0.793,15.3
2014,Developing,73.9,138.0,5.8,0.3,93.0,93.0,428.87811,0.7,13.2
1339,Developing,72.8,121.0,58.6,0.1,98.0,98.0,2537.349,0.733,13.7
2702,Developing,65.8,211.0,44.2,0.1,96.0,96.0,4439.23,0.0,10.6
845,Developing,54.1,336.0,19.8,4.4,38.0,48.0,685.34897,0.553,8.5
827,Developing,75.0,211.0,5.1,0.2,96.0,96.0,362.951768,0.651,12.9
193,Developing,71.4,132.0,17.7,0.1,97.0,97.0,184.56543,0.57,10.0
1874,Developing,75.0,197.0,44.2,0.4,85.0,85.0,11.147277,0.577,10.7
2663,Developing,69.1,194.0,34.4,1.2,91.0,91.0,6935.721451,0.715,11.8
637,Developing,78.0,1.0,48.3,0.1,88.0,88.0,4167.71417,0.715,12.1
1394,Developing,74.7,81.0,71.4,0.1,99.0,99.0,28975.418,0.799,13.3
750,Developed,77.0,14.0,53.3,0.1,98.0,98.0,33228.69291,0.875,16.6
367,Developing,75.0,183.0,43.7,0.1,98.0,99.0,3739.11936,0.677,14.1
2711,Developing,64.0,221.0,38.1,0.1,95.0,94.0,774.4763388,0.0,10.2
1538,Developed,82.0,63.0,61.3,0.1,99.0,99.0,1199.8223,0.896,13.9
394,Developed,72.1,16.0,59.7,0.1,96.0,97.0,3893.68998,0.745,13.5
777,Developing,73.3,161.0,51.5,1.4,82.0,86.0,511.37937,0.692,12.8
1201,Developing,62.5,224.0,11.4,0.3,58.0,57.0,438.864634,0.489,8.3
1739,Developing,74.6,121.0,57.8,0.1,95.0,95.0,7325.73474,0.774,14.2
1378,Developing,66.3,198.0,77.6,0.1,78.0,8.0,1424.483611,0.586,11.9
1031,Developing,83.0,76.0,63.7,0.1,99.0,99.0,26917.75898,0.859,16.4
1816,Developing,68.9,167.0,17.4,0.2,9.0,9.0,681.7925868,0.538,12.3
296,Developing,66.5,238.0,18.0,0.3,95.0,93.0,1741.142552,0.0,10.1
848,Developing,53.1,334.0,18.7,2.3,35.0,43.0,2283.87939,0.527,8.0
468,Developing,67.0,19.0,17.0,0.3,88.0,87.0,882.491462,0.533,10.7
1818,Developing,68.0,178.0,16.4,0.2,82.0,83.0,592.1835216,0.515,11.1
1653,Developing,62.7,28.0,29.4,1.1,8.0,8.0,145.57838,0.501,8.2
1820,Developing,67.0,189.0,15.4,0.2,82.0,82.0,473.844449,0.492,10.1
1124,Developing,62.7,253.0,47.7,0.5,68.0,67.0,81.265673,0.483,9.1
26,Developing,73.5,15.0,49.9,0.1,98.0,97.0,279.142931,0.685,10.8
457,Developing,72.1,129.0,24.9,0.6,96.0,97.0,234.28992,0.596,11.9
2634,Developing,73.3,135.0,74.8,0.1,8.0,82.0,4192.349758,0.716,14.3
1080,Developing,57.3,297.0,2.3,2.3,57.0,6.0,436.6895539,0.376,8.1
2692,Developing,72.0,132.0,56.8,0.1,85.0,85.0,64.72953,0.675,12.0
2746,Developing,77.1,75.0,64.2,0.1,99.0,99.0,3911.74689,0.836,13.3
1979,Developing,62.0,285.0,45.7,1.0,72.0,69.0,177.867119,0.494,9.9
598,Developing,61.3,251.0,21.1,0.1,83.0,84.0,778.5454199,0.465,10.3
2631,Developing,54.6,345.0,17.1,5.3,5.0,51.0,26.6394652,0.426,9.4
2499,Developing,46.0,63.0,27.8,49.1,86.0,88.0,2873.862141,0.495,9.7
1962,Developing,77.2,12.0,55.6,0.1,85.0,87.0,1589.82713,0.765,12.8
379,Developing,76.4,89.0,3.1,0.1,92.0,92.0,21896.6527,0.828,13.7
6,Developing,58.6,281.0,16.2,0.1,63.0,63.0,445.8932979,0.434,8.9
2285,Developing,72.6,177.0,34.2,0.1,99.0,99.0,12189.9516,0.744,13.3
1024,Developing,57.4,39.0,2.1,3.5,79.0,81.0,273.6596668,0.485,8.0
29,Developing,73.3,15.0,46.9,0.1,98.0,98.0,1453.642777,0.67,10.7
982,Developing,73.9,127.0,52.8,0.1,94.0,88.0,3725.63221,0.742,13.3
1552,Developed,78.0,96.0,54.6,0.1,99.0,99.0,48179.4285,0.854,13.4
1181,Developed,88.0,65.0,56.5,0.1,99.0,99.0,46917.27216,0.873,18.3
1539,Developed,81.7,65.0,6.9,0.1,99.0,99.0,119172.7418,0.892,13.9
423,Developing,55.3,35.0,15.2,2.9,92.0,89.0,196.2472628,0.319,7.9
1257,Developed,79.8,75.0,57.4,0.1,93.0,93.0,61235.415,0.908,17.9
2051,Developed,74.7,142.0,54.5,0.1,99.0,98.0,5693.52416,0.796,15.3
1382,Developing,65.5,26.0,75.7,0.1,99.0,95.0,1692.613277,0.585,11.9
1668,Developing,74.2,148.0,32.8,0.1,97.0,98.0,1153.93822,0.769,14.7
95,Developing,74.1,137.0,54.0,0.1,83.0,88.0,7669.273916,0.764,15.0
651,Developed,75.2,116.0,57.5,0.1,96.0,96.0,1224.2459,0.777,13.6
818,Developing,73.5,178.0,56.1,0.2,91.0,92.0,4127.11775,0.678,13.2
2218,Developing,67.3,191.0,3.1,0.2,95.0,95.0,1821.878734,0.562,11.1
1829,Developed,81.9,57.0,62.1,0.1,95.0,95.0,44292.88473,0.923,18.1
1020,Developing,58.9,296.0,22.4,3.1,84.0,85.0,498.172394,0.499,8.1
2823,Developing,75.4,124.0,56.3,0.1,95.0,93.0,488.768855,0.746,14.7
1528,Developed,72.2,192.0,59.7,0.1,98.0,98.0,11837.3913,0.825,16.6
1033,Developing,79.9,77.0,62.4,0.1,99.0,99.0,31997.2821,0.853,15.9
741,Developed,79.7,79.0,57.4,0.1,91.0,91.0,61753.667,0.91,16.9
1666,Developing,60.0,23.0,21.1,1.1,51.0,58.0,477.476124,0.443,6.4
1826,Developing,63.1,238.0,12.4,0.1,72.0,72.0,246.375621,0.447,8.6
2366,Developing,68.3,188.0,46.4,0.1,9.0,94.0,1272.44825,0.492,9.3
479,Developing,57.7,274.0,12.1,2.1,59.0,62.0,3.685949,0.401,7.2
47,Developing,71.3,145.0,44.4,0.1,86.0,86.0,1757.17797,0.636,10.7
391,Developed,72.9,155.0,61.5,0.1,95.0,96.0,7296.122479,0.761,13.8
274,Developing,59.5,251.0,24.6,1.2,77.0,73.0,915.2674586,0.466,10.3
1532,Developed,78.0,222.0,58.4,0.1,94.0,93.0,7863.1629,0.798,16.2
1467,Developing,74.1,1.0,61.4,0.1,78.0,75.0,5372.65899,0.733,13.2
416,Developing,59.6,288.0,18.7,0.7,94.0,94.0,33.681223,0.406,10.6
154,Developing,68.4,162.0,44.7,0.1,75.0,79.0,1578.4239,0.675,11.2
341,Developing,61.1,349.0,35.2,6.2,95.0,96.0,6346.15624,0.669,12.3
2137,Developing,70.0,229.0,59.3,0.2,97.0,98.0,15543.67653,0.799,14.6
117,Developed,81.9,64.0,63.9,0.1,92.0,92.0,51874.848,0.927,19.5
1090,Developing,58.9,275.0,26.3,3.2,87.0,87.0,596.8717189,0.421,9.2
1814,Developing,69.6,158.0,18.5,0.1,92.0,92.0,76.2386977,0.551,12.4
225,Developing,72.0,199.0,61.7,0.1,97.0,97.0,8318.429294,0.796,15.7
27,Developing,73.0,17.0,48.9,0.1,97.0,98.0,2416.588235,0.681,10.9
1290,Developed,81.3,63.0,59.4,0.1,97.0,97.0,37698.78573,0.862,16.1
1010,Developing,62.4,249.0,28.6,0.7,88.0,88.0,1361.11395,0.575,11.4
1998,Developing,72.7,157.0,44.9,0.1,89.0,85.0,359.992184,0.654,11.9
1186,Developing,68.3,181.0,18.7,0.2,87.0,86.0,1613.18878,0.615,11.6
1061,Developing,71.3,189.0,48.6,0.4,96.0,94.0,3299.65139,0.616,10.6
1776,Developing,51.0,424.0,17.7,15.3,85.0,67.0,283.8911588,0.318,6.7
792,Developing,75.1,137.0,5.0,0.1,94.0,91.0,4255.56571,0.702,13.1
38,Developing,74.4,123.0,52.8,0.1,95.0,94.0,3868.83123,0.705,13.1
353,Developing,74.8,144.0,55.3,0.1,93.0,96.0,1226.61731,0.747,15.2
515,Developing,53.0,439.0,21.2,5.1,47.0,47.0,486.41114,0.366,7.1
325,Developing,76.4,94.0,53.1,0.1,89.0,9.0,4611.47298,0.717,13.3
1479,Developing,51.1,527.0,29.7,13.4,93.0,92.0,1173.26212,0.464,10.9
2009,Developing,75.3,125.0,54.2,0.1,88.0,71.0,6583.116248,0.731,13.4
2236,Developing,74.1,9.0,65.6,0.1,98.0,98.0,2533.9462,0.818,14.5
2017,Developing,72.8,148.0,48.8,0.4,77.0,66.0,2754.7829,0.692,13.0
356,Developing,74.1,152.0,52.8,0.1,99.0,98.0,13167.47289,0.724,14.0
642,Developed,77.8,97.0,63.1,0.1,95.0,95.0,13467.46827,0.82,15.1
1887,Developing,53.7,278.0,15.4,1.6,45.0,46.0,25.383731,0.278,3.5
2918,Developing,46.4,64.0,17.6,18.2,83.0,85.0,429.1583434,0.443,10.2
2127,Developed,72.9,154.0,55.0,0.1,96.0,96.0,8214.185378,0.766,14.1
1111,Developing,65.9,221.0,42.4,0.4,95.0,95.0,326.281212,0.618,10.2
577,Developing,74.6,144.0,57.2,0.1,9.0,9.0,7913.383432,0.72,13.6
1622,Developing,56.8,271.0,21.3,1.5,66.0,72.0,835.88998,0.404,7.5
1482,Developing,46.2,633.0,28.3,30.0,88.0,87.0,918.432717,0.44,10.6
473,Developing,64.1,216.0,14.3,1.1,8.0,8.0,539.8791529,0.483,10.1
1160,Developed,74.2,162.0,61.1,0.1,99.0,99.0,12967.16543,0.816,15.3
1253,Developed,85.0,69.0,6.5,0.1,95.0,95.0,49231.36254,0.895,18.5
2019,Developing,72.1,152.0,47.4,0.4,94.0,95.0,218.25997,0.686,13.3
1195,Developing,64.8,28.0,13.9,0.3,65.0,66.0,792.259698,0.536,9.7
1549,Developed,78.7,92.0,56.4,0.1,99.0,99.0,75716.3518,0.867,13.5
299,Developing,64.2,263.0,16.1,0.3,89.0,9.0,197.45788,0.0,8.8
793,Developing,74.6,139.0,49.3,0.1,96.0,94.0,4274.95265,0.698,13.0
908,Developing,68.3,214.0,55.1,0.1,96.0,97.0,3658.63832,0.699,13.9
1245,Developing,67.2,21.0,51.9,0.1,74.0,69.0,1391.816923,0.603,9.8
2532,Developed,81.0,69.0,52.8,0.1,93.0,95.0,53255.97631,0.895,15.1
464,Developing,68.7,174.0,19.6,0.2,89.0,87.0,1163.18977,0.558,10.9
1059,Developing,71.7,187.0,49.9,0.4,73.0,65.0,3687.763767,0.614,10.7
2473,Developing,71.6,176.0,58.3,0.4,89.0,89.0,8818.982566,0.723,12.7
1740,Developing,74.2,125.0,57.2,0.1,92.0,92.0,5957.145693,0.762,13.6
1370,Developing,56.8,356.0,17.3,9.1,81.0,76.0,839.181117,0.494,10.1
455,Developing,72.4,124.0,26.2,0.4,99.0,99.0,3638.95946,0.615,12.2
346,Developing,51.7,566.0,32.7,20.6,96.0,96.0,5351.253732,0.593,11.9
992,Developing,73.0,121.0,46.5,0.1,87.0,83.0,733.974142,0.673,11.7
1686,Developing,76.3,123.0,61.5,0.1,99.0,99.0,982.532572,0.748,12.7
1003,Developed,79.6,84.0,58.0,0.1,96.0,94.0,36447.87232,0.892,16.5
1763,Developing,68.6,16.0,44.8,0.1,95.0,95.0,1332.382358,0.519,8.0
593,Developing,63.2,23.0,23.7,0.8,87.0,87.0,852.954379,0.497,11.1
1271,Developing,81.7,61.0,63.0,0.1,95.0,95.0,3661.994,0.878,15.7
2756,Developing,75.3,92.0,56.6,0.1,94.0,94.0,39439.8197,0.818,12.6
253,Developed,78.0,99.0,59.0,0.1,95.0,96.0,2552.3328,0.875,18.8
1495,Developing,59.7,272.0,24.5,1.8,7.0,71.0,327.42597,0.403,9.6
247,Developed,79.5,87.0,61.3,0.1,99.0,99.0,48424.58927,0.874,15.8
842,Developing,55.0,339.0,2.9,5.9,41.0,54.0,15761.83913,0.587,9.0
2617,Developing,59.9,287.0,24.3,1.0,88.0,88.0,551.138346,0.484,12.0
1499,Developing,56.7,32.0,22.4,3.0,6.0,66.0,178.92799,0.377,10.0
413,Developing,51.0,338.0,12.9,3.2,69.0,69.0,26.7635413,0.0,3.6
573,Developing,72.7,16.0,21.9,0.1,86.0,86.0,1148.5857,0.6,9.7
2687,Developing,73.9,118.0,61.1,0.1,96.0,96.0,936.499911,0.709,12.5
1575,Developing,52.9,462.0,17.6,13.7,93.0,86.0,458.8681744,0.43,10.2
931,Developing,82.2,79.0,62.0,0.1,98.0,98.0,42955.24287,0.89,16.2
86,Developing,75.6,126.0,59.2,0.1,94.0,97.0,8161.36966,0.794,16.5
1250,Developed,81.4,64.0,62.8,0.1,95.0,95.0,6664.144,0.92,18.6
9,Developing,57.3,295.0,14.7,0.1,58.0,58.0,272.56377,0.405,8.1
2085,Developing,76.3,87.0,63.3,0.1,93.0,93.0,2843.63635,0.809,12.6
1931,Developing,75.6,16.0,51.8,0.1,99.0,99.0,1928.74739,0.797,13.5
599,Developing,61.0,255.0,2.6,0.1,81.0,81.0,795.97519,0.461,10.2
1902,Developing,49.8,396.0,19.9,5.3,4.0,46.0,119.743286,0.466,9.0
269,Developing,68.5,199.0,42.0,0.1,89.0,93.0,3556.561825,0.678,11.9
2477,Developing,76.0,187.0,55.5,0.1,86.0,86.0,8318.97692,0.704,12.5
2065,Developed,77.7,11.0,54.1,0.1,93.0,93.0,18784.9485,0.79,15.4
2723,Developing,54.9,41.0,14.8,8.6,64.0,62.0,336.4593923,0.434,10.6
1736,Developing,75.4,113.0,59.7,0.1,95.0,95.0,7318.742449,0.792,15.1
1258,Developed,79.5,75.0,56.6,0.1,92.0,92.0,61388.17457,0.902,17.6
510,Developing,79.4,8.0,58.5,0.1,89.0,88.0,23691.59472,0.867,15.8
1545,Developed,80.0,8.0,58.4,0.1,99.0,96.0,114293.8433,0.887,13.5
1150,Developing,71.9,166.0,41.2,1.4,92.0,92.0,1157.3427,0.566,10.3
2312,Developing,39.0,533.0,17.2,1.2,44.0,46.0,139.3147734,0.292,6.7
2507,Developed,81.9,57.0,58.5,0.1,98.0,98.0,6283.24522,0.904,15.8
1377,Developing,51.9,428.0,14.4,18.1,82.0,8.0,43.9797132,0.448,8.4
216,Developing,74.2,113.0,48.4,0.1,93.0,93.0,16462.48556,0.771,15.0
1832,Developed,81.1,62.0,6.5,0.1,97.0,97.0,49474.7561,0.921,18.1
1584,Developing,43.5,599.0,14.4,25.1,9.0,86.0,146.7615397,0.387,10.1
1373,Developing,53.0,432.0,15.9,13.2,73.0,73.0,458.8843551,0.461,8.9
2361,Developing,69.2,177.0,5.5,0.1,98.0,99.0,1922.41388,0.514,9.6
417,Developing,59.1,297.0,18.2,0.7,95.0,95.0,312.7489794,0.404,10.6
1971,Developing,75.5,126.0,48.6,0.1,98.0,95.0,4267.13578,0.728,12.8
2016,Developing,74.2,134.0,49.5,0.4,94.0,94.0,3171.49856,0.693,13.0
13,Developing,56.2,3.0,13.0,0.1,36.0,36.0,187.84595,0.341,6.2
460,Developing,71.1,144.0,23.2,0.9,92.0,93.0,1768.92132,0.572,11.3
1101,Developing,53.5,38.0,19.6,5.0,64.0,69.0,393.3138244,0.0,7.7
326,Developing,76.1,97.0,52.6,0.1,9.0,9.0,4697.89732,0.716,13.3
177,Developing,76.8,7.0,62.9,0.1,98.0,98.0,24983.3792,0.82,14.5
2015,Developing,74.0,133.0,5.2,0.3,93.0,93.0,3611.2147,0.696,13.2
1791,Developing,63.5,228.0,15.7,0.5,82.0,92.0,219.8156688,0.455,7.8
1062,Developing,71.1,193.0,47.9,0.4,88.0,88.0,3187.845296,0.609,10.5
2398,Developing,58.0,428.0,47.2,11.0,72.0,72.0,7362.76139,0.63,12.8
2353,Developed,78.3,12.0,55.2,0.1,97.0,97.0,23841.31792,0.865,16.8
2078,Developing,76.8,82.0,65.2,0.1,97.0,98.0,82967.37228,0.825,11.7
2557,Developing,68.1,166.0,37.4,0.2,96.0,97.0,834.5412953,0.608,11.1
1563,Developing,61.4,263.0,16.3,0.6,85.0,83.0,292.157443,0.478,9.0
934,Developing,81.7,83.0,6.6,0.1,99.0,99.0,4381.288,0.882,16.1
2534,Developed,84.0,74.0,51.8,0.1,93.0,95.0,41336.72192,0.89,15.2
582,Developing,73.6,15.0,53.5,0.1,92.0,92.0,5148.422113,0.691,12.4
2257,Developing,62.1,23.0,2.3,0.7,94.0,93.0,95.3978522,0.425,6.8
2201,Developing,73.8,128.0,74.3,0.1,63.0,58.0,4178.973369,0.701,12.9
2264,Developing,57.5,25.0,17.5,0.5,52.0,49.0,473.45338,0.378,5.2
2200,Developing,74.0,125.0,74.7,0.1,66.0,61.0,4149.363444,0.702,12.9
591,Developing,71.4,167.0,46.7,0.1,79.0,82.0,2472.197831,0.65,11.3
2495,Developing,52.6,46.0,29.3,33.7,88.0,89.0,332.517125,0.519,10.8
1241,Developing,69.3,167.0,54.5,0.1,69.0,71.0,4521.3247,0.638,10.3
2638,Developing,72.8,142.0,72.7,0.1,82.0,84.0,3547.59975,0.707,14.4
1800,Developing,64.3,268.0,32.5,4.7,82.0,85.0,56.971392,0.612,11.5
1469,Developing,73.7,13.0,6.2,0.1,75.0,74.0,5424.22356,0.0,14.2
2747,Developing,76.9,77.0,62.4,0.1,99.0,99.0,44449.7435,0.832,13.3
206,Developing,65.8,168.0,1.8,0.1,85.0,85.0,42.5981152,0.468,7.5
2123,Developed,74.3,139.0,57.7,0.1,89.0,89.0,92.277825,0.798,15.7
1069,Developing,69.6,21.0,43.1,0.4,87.0,88.0,1872.73783,0.564,9.3
333,Developing,75.4,11.0,48.8,0.1,8.0,86.0,1761.537647,0.0,11.9
1693,Developing,75.3,126.0,56.4,0.1,98.0,98.0,7986.798439,0.719,12.2
424,Developing,54.8,355.0,14.8,3.4,99.0,93.0,17.79995,0.309,7.2
1635,Developed,81.4,55.0,69.2,0.1,99.0,99.0,2618.92599,0.847,14.3
2821,Developing,75.4,122.0,57.7,0.1,94.0,95.0,4117.38853,0.75,15.5
626,Developing,79.5,96.0,59.5,0.1,91.0,91.0,1647.44179,0.768,13.9
2570,Developing,74.6,152.0,32.4,0.1,99.0,99.0,5941.8471,0.737,13.6
2680,Developing,72.9,112.0,48.1,0.1,97.0,97.0,2213.91488,0.646,12.8
33,Developing,75.4,11.0,58.4,0.1,95.0,95.0,547.8517,0.741,14.4
2434,Developed,88.0,73.0,61.1,0.1,98.0,98.0,28482.6948,0.844,15.9
2749,Developing,76.5,8.0,58.6,0.1,96.0,96.0,42112.23565,0.826,13.3
2221,Developing,66.6,198.0,27.7,0.5,96.0,96.0,134.326189,0.546,10.6
215,Developing,74.4,111.0,49.2,0.1,85.0,85.0,1657.3228,0.775,15.3
1726,Developing,64.5,274.0,42.1,0.1,99.0,99.0,998.8226671,0.637,11.8
145,Developing,72.5,119.0,51.5,0.1,94.0,97.0,7891.299776,0.752,12.2
2481,Developing,69.5,22.0,52.6,0.8,84.0,84.0,5761.39536,0.684,11.7
2364,Developing,68.7,184.0,48.1,0.1,99.0,99.0,1858.689868,0.505,9.4
2643,Developing,72.3,15.0,69.4,0.1,89.0,9.0,2594.74999,0.694,14.6
1865,Developing,74.5,147.0,5.9,0.1,98.0,99.0,1682.957924,0.62,11.5
2548,Developing,73.2,131.0,46.8,0.1,81.0,84.0,148.852738,0.61,10.6
1957,Developing,62.8,19.0,16.4,0.1,62.0,65.0,533.8624114,0.445,5.3
2208,Developing,72.2,149.0,7.9,0.1,53.0,49.0,322.543121,0.682,12.9
1753,Developing,72.8,11.0,53.6,0.1,99.0,99.0,2834.2472,0.603,10.7
389,Developed,73.4,147.0,62.7,0.1,94.0,94.0,6843.263289,0.77,13.9
926,Developing,78.4,98.0,57.1,0.1,98.0,96.0,32816.1688,0.866,18.1
1132,Developing,65.0,29.0,38.5,3.9,6.0,6.0,465.311876,0.452,8.2
1234,Developing,68.9,182.0,59.1,0.1,58.0,63.0,4974.2693,0.649,10.1
1458,Developing,74.9,98.0,66.1,0.1,81.0,75.0,846.632851,0.763,13.3
673,Developed,85.0,52.0,6.3,0.1,97.0,97.0,2375.1127,0.854,14.3
1561,Developing,62.3,259.0,17.1,0.5,77.0,77.0,47.733254,0.491,9.4
778,Developing,72.9,164.0,5.4,1.6,85.0,86.0,4647.31359,0.685,12.7
1182,Developed,87.0,65.0,55.9,0.1,97.0,97.0,3944.999,0.866,17.6
102,Developing,73.3,137.0,5.7,0.1,93.0,94.0,2993.832531,0.725,11.9
2224,Developing,65.4,215.0,25.4,0.9,99.0,99.0,1126.46212,0.531,10.4
1602,Developing,78.5,61.0,27.4,0.1,99.0,99.0,8395.785198,0.701,12.7
2439,Developed,79.4,84.0,58.2,0.1,96.0,95.0,15323.6114,0.825,15.7
1209,Developing,67.7,189.0,21.3,0.2,77.0,83.0,216.52766,0.641,11.7
2395,Developing,69.0,371.0,49.5,4.5,73.0,73.0,6876.953821,0.652,12.8
487,Developing,54.2,382.0,24.9,6.7,84.0,82.0,1233.524316,0.466,8.8
2139,Developing,69.4,242.0,58.1,0.3,97.0,97.0,14212.687,0.785,14.0
199,Developing,69.1,147.0,14.0,0.1,96.0,96.0,615.7775411,0.52,8.6
2453,Developing,73.9,146.0,15.6,0.1,99.0,98.0,989.4547732,0.697,12.7
294,Developing,67.4,232.0,19.5,0.4,93.0,93.0,177.234497,0.0,10.9
1167,Developed,72.5,184.0,57.1,0.1,99.0,98.0,665.6443,0.775,14.6
1815,Developing,69.3,162.0,18.0,0.1,92.0,92.0,688.6172788,0.545,12.3
2655,Developing,71.0,183.0,41.1,0.2,9.0,9.0,1458.8796,0.773,12.5
930,Developing,82.4,78.0,62.5,0.1,98.0,98.0,36526.7711,0.894,16.3
895,Developing,53.2,369.0,12.9,4.6,35.0,55.0,111.3634356,0.298,4.9
123,Developed,86.0,69.0,6.9,0.1,92.0,92.0,3472.37977,0.908,20.7
2605,Developing,67.2,161.0,15.8,0.1,67.0,66.0,114.56179,0.607,12.5
2648,Developing,71.6,158.0,65.5,0.1,91.0,91.0,263.27236,0.676,13.7
2043,Developed,76.7,128.0,59.1,0.1,99.0,96.0,13893.18768,0.829,15.4
1723,Developing,67.4,225.0,44.9,0.1,96.0,95.0,2139.625631,0.673,13.4
2601,Developing,68.3,152.0,17.4,0.1,76.0,75.0,1161.76935,0.603,12.5
1987,Developing,59.6,321.0,39.6,1.4,68.0,62.0,588.3582595,0.433,7.2
5,Developing,58.8,279.0,16.7,0.1,66.0,66.0,553.32894,0.448,9.2
1518,Developing,71.3,144.0,54.6,0.1,95.0,95.0,4676.96753,0.74,16.0
914,Developing,81.1,76.0,62.1,0.1,97.0,97.0,4245.39744,0.893,17.0
1937,Developing,74.0,122.0,48.9,0.1,99.0,99.0,1129.28886,0.734,11.5
1143,Developing,73.6,156.0,46.8,0.4,97.0,97.0,1932.85829,0.606,11.5
875,Developing,73.0,188.0,55.9,0.1,95.0,95.0,12595.4165,0.822,16.1
1152,Developing,71.3,171.0,39.6,1.6,96.0,99.0,113.4546,0.557,9.9
1127,Developing,36.3,682.0,44.2,1.9,66.0,66.0,662.2795182,0.47,8.6
2450,Developing,73.8,145.0,17.2,0.1,98.0,98.0,1448.7611,0.718,13.1
882,Developing,64.8,225.0,17.6,0.6,77.0,75.0,645.4637627,0.441,8.4
948,Developing,64.6,255.0,35.2,3.7,79.0,77.0,9679.742995,0.678,12.5
643,Developed,77.7,97.0,62.5,0.1,96.0,96.0,13574.749,0.817,14.9
2157,Developing,61.0,288.0,17.7,2.8,97.0,93.0,539.1538211,0.447,10.2
2915,Developing,58.0,526.0,18.8,15.9,81.0,83.0,13.154199,0.479,10.9
2265,Developing,75.6,121.0,6.0,0.1,95.0,95.0,5237.255334,0.775,14.4
1982,Developing,61.4,29.0,43.4,1.3,63.0,76.0,1178.72469,0.469,8.9
1560,Developing,62.8,254.0,17.6,0.5,77.0,76.0,415.6893226,0.5,9.7
2517,Developed,82.0,69.0,54.4,0.1,99.0,99.0,36961.42537,0.882,15.9
149,Developing,71.1,13.0,48.0,0.1,81.0,85.0,5842.85784,0.737,11.7
